ncei_id,location_name,ncei_magnitude,damage_order,mag_body_wave,published,damage_order_total,houses_damaged_total,houses_damaged_order_total,country,region_code,injuries,injuries_order,houses_destroyed,houses_destroyed_order,houses_damaged,houses_damaged_order,mag_moment,mag_surface_wave,injuries_total,injuries_order_total,houses_destroyed_total,houses_destroyed_order_total,deaths,deaths_order,damage_millions,deaths_total,deaths_order_total,damage_millions_total,intensity,usgs_id,time,latitude,longitude,depth,usgs_magnitude,place,sig,mmi,alert,magnitude,year,depth_category,region
5585,TURKMENISTAN:  NEBITDAG-TURKMENBASHI,7.0,1.0,6.7,True,1.0,,,TURKMENISTAN,40,,2.0,,,,,7.0,7.5,,2.0,,,11.0,1.0,,11.0,1.0,,,usp000a5m7,2000-12-06 17:11:06.400000+00:00,39.566,54.799,30.0,7.0,"37 km E of Balkanabat, Turkmenistan",754,7.203,,7.0,2000,shallow,TURKMENISTAN:  NEBITDAG-TURKMENBASHI
5586,TURKEY:  AFYON-BOLVADIN,6.0,1.0,5.1,True,1.0,,2.0,TURKEY,140,41.0,1.0,,,,,6.0,5.8,41.0,1.0,,,6.0,1.0,,6.0,1.0,,7.0,usp000a64f,2000-12-15 16:44:47.660000+00:00,38.457,31.351,10.0,6.0,"12 km NNW of Ak?ehir, Turkey",554,6.684,,6.0,2000,shallow,TURKEY:  AFYON-BOLVADIN
5587,EL SALVADOR; GUATEMALA,7.7,4.0,6.4,True,4.0,169632.0,4.0,EL SALVADOR,100,4723.0,4.0,108226.0,4.0,169632.0,4.0,7.7,7.8,4723.0,4.0,108226.0,4.0,844.0,3.0,753.0,844.0,3.0,753.0,8.0,usp000a7m5,2001-01-13 17:33:32.380000+00:00,13.049,-88.66,60.0,7.7,"28 km SSW of Puerto El Triunfo, El Salvador",912,7.596,,7.7,2001,intermediate,EL SALVADOR; GUATEMALA
5589,"INDIA:  GUJARAT:  BHUJ, AHMADABAD, RAJOKOT; PAKISTAN",7.6,4.0,6.9,True,4.0,,,INDIA,60,166836.0,4.0,339000.0,4.0,339000.0,4.0,7.6,8.0,166836.0,4.0,339000.0,4.0,20005.0,4.0,2623.0,20005.0,4.0,2623.0,10.0,usp000a8ds,2001-01-26 03:16:40.500000+00:00,23.419,70.232,16.0,7.7,"17 km NW of Bhach?u, India",912,9.422,,7.7,2001,shallow,RAJOKOT; PAKISTAN
5592,EL SALVADOR: SAN JUAN TEPEZONTES-SAN VICENTE-COJUTEP,6.6,4.0,5.5,True,4.0,15706.0,4.0,EL SALVADOR,100,3399.0,4.0,41302.0,4.0,15706.0,4.0,6.6,6.5,3399.0,4.0,41302.0,4.0,315.0,3.0,348.5,315.0,3.0,348.5,6.0,usp000a9jv,2001-02-13 14:22:05.820000+00:00,13.671,-88.938,10.0,6.6,"5 km S of Cojutepeque, El Salvador",670,7.504,,6.6,2001,shallow,EL SALVADOR: SAN JUAN TEPEZONTES-SAN VICENTE-COJUTEP
5593,"CHINA:  SICHUAN PROVINCE:  KANGDING, YAJIANG",5.6,3.0,5.7,True,3.0,,,CHINA,30,109.0,3.0,60000.0,4.0,60000.0,4.0,5.6,5.4,109.0,3.0,60000.0,4.0,3.0,1.0,,3.0,1.0,,,usp000aa5p,2001-02-23 00:09:23.690000+00:00,29.513,101.129,33.0,5.6,"96 km SW of Kangding, China",482,5.211,,5.6,2001,intermediate,YAJIANG
5595,"WASHINGTON:  OLYMPIA, SEATTLE, TACOMA",6.8,4.0,6.5,True,4.0,,,USA,150,400.0,3.0,,,,,6.8,6.6,400.0,3.0,,,1.0,1.0,2000.0,1.0,1.0,2000.0,8.0,uw10530748,2001-02-28 18:54:32.830000+00:00,47.149,-122.7266667,51.798,6.8,"7 km SSE of Longbranch, Washington",1421,6.933,,6.8,2001,intermediate,TACOMA
5596,"JAPAN:  HIROSHIMA, OKAYAMA, HONSHU, KAGAMA",6.8,4.0,6.4,True,4.0,3700.0,4.0,JAPAN,30,161.0,3.0,,,3700.0,4.0,6.8,6.5,161.0,3.0,,,2.0,1.0,500.0,2.0,1.0,500.0,9.0,usp000abyg,2001-03-24 06:27:53.580000+00:00,34.083,132.526,50.0,6.8,"16 km SSW of Kure, Japan",711,6.91,,6.8,2001,intermediate,KAGAMA
5597,EL SALVADOR:  CONCHAGUA,5.7,2.0,5.2,True,2.0,70.0,2.0,EL SALVADOR,100,,,84.0,2.0,70.0,2.0,5.7,5.4,,,84.0,2.0,1.0,1.0,,1.0,1.0,,,usp000aemf,2001-05-08 18:02:16.910000+00:00,13.605,-88.795,10.0,5.7,"3 km S of San Vicente, El Salvador",500,6.456,,5.7,2001,shallow,EL SALVADOR:  CONCHAGUA
5598,CHINA:  YUNNAN:  NINGLANG; SICHUAN:  YANYUAN,5.5,4.0,5.1,True,4.0,,,CHINA,30,605.0,3.0,,,,,5.5,5.3,605.0,3.0,,,2.0,1.0,36.0,2.0,1.0,36.0,,usp000afdp,2001-05-23 21:10:43.960000+00:00,27.689,101.003,33.0,5.5,"119 km NE of Lijiang, China",465,5.045,,5.5,2001,intermediate,CHINA:  YUNNAN:  NINGLANG; SICHUAN:  YANYUAN
